0,1,2,3,4,5,6,7,8,9,10
tropical fruit,soda,,,,,,,,,
newspapers,newspapers,,,,,,,,,
rolls/buns,grapes,bottled beer,sausage,salty snack,Instant food products,domestic eggs,bottled water,,,
sausage,citrus fruit,,,,,,,,,
root vegetables,soda,,,,,,,,,
citrus fruit,canned beer,flour,,,,,,,,
pip fruit,soda,,,,,,,,,
whole milk,newspapers,,,,,,,,,
chewing gum,cake bar,,,,,,,,,
shopping bags,beef,citrus fruit,cat food,,,,,,,
bottled water,yogurt,tropical fruit,whole milk,,,,,,,
dessert,whipped/sour cream,,,,,,,,,
pip fruit,chewing gum,yogurt,,,,,,,,
domestic eggs,pastry,,,,,,,,,
pot plants,packaged fruit/vegetables,butter,rolls/buns,,,,,,,
fruit/vegetable juice,beverages,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
citrus fruit,pastry,,,,,,,,,
yogurt,rolls/buns,soda,,,,,,,,
frozen meals,chicken,whipped/sour cream,whole milk,bottled beer,,,,,,
butter,pastry,other vegetables,other vegetables,,,,,,,
salty snack,frozen vegetables,,,,,,,,,
dessert,whipped/sour cream,,,,,,,,,
pip fruit,mustard,whole milk,,,,,,,,
hamburger meat,pet care,pastry,,,,,,,,
canned beer,napkins,,,,,,,,,
soda,red/blush wine,,,,,,,,,
red/blush wine,whipped/sour cream,specialty cheese,abrasive cleaner,,,,,,,
frozen meals,sausage,canned beer,brown bread,frozen vegetables,chocolate,,,,,
sausage,other vegetables,,,,,,,,,
sausage,frankfurter,other vegetables,bottled water,,,,,,,
root vegetables,yogurt,bottled water,,,,,,,,
beverages,packaged fruit/vegetables,,,,,,,,,
dessert,other vegetables,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
white wine,Instant food products,,,,,,,,,
butter,frankfurter,root vegetables,butter milk,vinegar,,,,,,
whole milk,cream cheese ,,,,,,,,,
grapes,meat spreads,domestic eggs,,,,,,,,
frozen vegetables,rolls/buns,,,,,,,,,
soda,yogurt,,,,,,,,,
whole milk,soda,yogurt,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
whole milk,specialty chocolate,,,,,,,,,
root vegetables,butter,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
root vegetables,baking powder,,,,,,,,,
frozen fish,specialty chocolate,,,,,,,,,
frozen dessert,tropical fruit,,,,,,,,,
citrus fruit,hamburger meat,,,,,,,,,
grapes,coffee,,,,,,,,,
bottled water,soda,,,,,,,,,
dessert,sausage,whole milk,oil,,,,,,,
ham,domestic eggs,,,,,,,,,
root vegetables,pastry,,,,,,,,,
brown bread,napkins,,,,,,,,,
beef,canned beer,,,,,,,,,
salty snack,chocolate,,,,,,,,,
cleaner,shopping bags,,,,,,,,,
root vegetables,processed cheese,,,,,,,,,
whipped/sour cream,rolls/buns,,,,,,,,,
tropical fruit,citrus fruit,,,,,,,,,
sausage,salty snack,,,,,,,,,
sausage,soda,,,,,,,,,
rolls/buns,butter,,,,,,,,,
tropical fruit,sugar,,,,,,,,,
pork,yogurt,,,,,,,,,
photo/film,onions,,,,,,,,,
meat,margarine,,,,,,,,,
rolls/buns,hamburger meat,candles,,,,,,,,
sausage,salt,,,,,,,,,
rolls/buns,newspapers,,,,,,,,,
canned beer,rolls/buns,,,,,,,,,
chicken,vinegar,,,,,,,,,
chicken,cat food,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
liver loaf,onions,,,,,,,,,
beef,house keeping products,,,,,,,,,
bottled beer,hard cheese,,,,,,,,,
canned beer,cake bar,newspapers,pastry,baking powder,yogurt,,,,,
beef,hamburger meat,,,,,,,,,
pet care,spread cheese,,,,,,,,,
frankfurter,newspapers,,,,,,,,,
whole milk,salty snack,,,,,,,,,
yogurt,liqueur,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
cat food,napkins,fruit/vegetable juice,,,,,,,,
other vegetables,misc. beverages,root vegetables,curd,dessert,,,,,,
yogurt,curd,,,,,,,,,
hamburger meat,frozen potato products,whole milk,citrus fruit,semi-finished bread,napkins,,,,,
frankfurter,pork,rolls/buns,grapes,,,,,,,
rolls/buns,butter,,,,,,,,,
hamburger meat,root vegetables,,,,,,,,,
beef,whole milk,newspapers,,,,,,,,
shopping bags,curd,hard cheese,,,,,,,,
whole milk,canned beer,,,,,,,,,
coffee,packaged fruit/vegetables,,,,,,,,,
pip fruit,onions,yogurt,,,,,,,,
brown bread,shopping bags,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
ham,tropical fruit,bottled beer,,,,,,,,
soda,liquor (appetizer),salty snack,,,,,,,,
curd cheese,popcorn,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
chicken,citrus fruit,sugar,,,,,,,,
pip fruit,tropical fruit,shopping bags,,,,,,,,
bottled water,margarine,onions,other vegetables,whole milk,,,,,,
canned beer,flour,,,,,,,,,
rolls/buns,coffee,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
salty snack,butter,,,,,,,,,
canned beer,citrus fruit,,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
sausage,pastry,,,,,,,,,
other vegetables,chocolate,,,,,,,,,
other vegetables,dog food,,,,,,,,,
soda,whipped/sour cream,,,,,,,,,
brown bread,shopping bags,,,,,,,,,
other vegetables,yogurt,whole milk,butter,shopping bags,,,,,,
curd cheese,UHT-milk,,,,,,,,,
sausage,bottled water,,,,,,,,,
pork,soda,soda,,,,,,,,
